id,name,moneycontrol_link,Score,Sr.no
540005,LARSEN & TOUBRO INFOTECH LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/larsentoubroinfotech/LI12,,165
530019,JUBILANT LIFE SCIENCES LIMITED,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03,,166
535755,ADITYA BIRLA FASHION AND RETAIL LTD.,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,,167
539876,CROMPTON GREAVES CONSUMER ELECTRICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01,,168
533273,OBEROI REALTY LTD.,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/oberoirealty/OR,,169
500850,INDIAN HOTELS CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,,170
504973,TUBE INVESTMENTS OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/tubeinvestment/tubeinvestmentsindialtd/TIIND54076,,171
533573,ALEMBIC PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,,172
526612,BLUE DART EXPRESS LTD.,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,,173
539268,SYNGENE INTERNATIONAL LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/syngeneinternational/SI10,,174
533228,BHARAT FINANCIAL INCLUSION LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/bharatfinancialinclusion/SM11,,175
532636,IIFL HOLDINGS LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/iiflholdings/II15,,176
533023,WABCO INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/wabcoindia/WAB,,177
533148,JSW ENERGY LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/jswenergy/JE01,,178
532922,EDELWEISS FINANCIAL SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01,,179
